,empty_tx,RnlA_tx,YafQ_tx,empty_rs,RnlA_rs,YafQ_rs
620,1.022,1.065,0.994,1.039,1.047,0.996
625,1.021,1.061,0.995,1.038,1.048,0.995
630,1.022,1.064,0.995,1.039,1.055,0.994
635,1.025,1.061,0.995,1.039,1.053,0.995
640,1.028,1.065,0.995,1.04,1.055,0.993
645,1.026,1.063,0.995,1.04,1.054,0.994
650,1.026,1.068,0.996,1.04,1.054,0.993
655,1.025,1.073,0.996,1.041,1.052,0.993
660,1.026,1.066,0.995,1.041,1.051,0.994
665,1.026,1.066,0.995,1.041,1.051,0.993
670,1.027,1.07,0.995,1.042,1.051,0.993
675,1.027,1.073,0.995,1.042,1.053,0.994
680,1.024,1.072,0.996,1.043,1.055,0.993
685,1.026,1.068,0.996,1.043,1.055,0.992
690,1.025,1.067,0.996,1.043,1.056,0.992
695,1.027,1.069,0.997,1.044,1.057,0.991
700,1.028,1.066,0.996,1.044,1.057,0.992
705,1.028,1.071,0.996,1.044,1.056,0.992
710,1.028,1.073,0.996,1.045,1.057,0.992
715,1.03,1.074,0.996,1.045,1.056,0.992
720,1.03,1.081,0.997,1.045,1.058,0.993
725,1.032,1.07,0.997,1.046,1.058,0.992
