,title,i7,ezpool,ezpool_counts,too_short,match_1,match_multiple,overall_align,CDS,CDS_inverse,ncRNA_inverse,ncRNA,rRNA_inverse,rRNA,tRNA,tRNA_inverse,mean,5th,10th,50th,90th,95th
89,tot_30m-yhav2,4,18,2698137,255,21.03,74.48,97.93,571168.0,18017.0,424.0,46322.0,3103.0,1972607.0,62471.0,64.0,306.04556758644776,162.0,185.0,296.0,441.0,485.0
90,tot_30m-mqsr2,4,19,2669449,362,13.73,81.09,97.54,325540.0,19916.0,233.0,55451.0,3061.0,2133107.0,58499.0,41.0,303.41634950639957,161.0,182.0,293.0,431.0,479.0
91,tot_30m-rnla2,4,20,1295391,388,10.62,84.75,97.7,71390.0,1926.0,69.0,70654.0,902.0,1095046.0,10057.0,14.0,324.30243845962025,169.0,196.0,328.0,458.0,491.0
92,tot_30m-yoeb2,4,21,2658708,865,12.82,82.22,97.73,309344.0,9116.0,293.0,55379.0,2325.0,2153610.0,65495.0,17.0,305.2963603679496,158.0,182.0,296.0,435.0,479.0
93,tot_30m-yafo2,4,22,2782443,616,9.29,86.58,97.99,204554.0,5755.0,110.0,62922.0,618.0,2399370.0,30551.0,23.0,307.23767516450175,163.0,186.0,296.0,439.0,479.0
94,tot_30m-yafq2,4,23,1343597,309,12.74,83.23,98.26,68031.0,2170.0,111.0,105614.0,1523.0,1114523.0,12031.0,15.0,325.88490795071573,171.0,199.0,318.0,471.0,484.0
95,tot_30m-higb2,4,24,2705049,394,18.7,76.09,97.52,469961.0,21912.0,387.0,65860.0,2069.0,2030511.0,62395.0,32.0,301.9051895323933,157.0,179.0,292.0,436.0,476.0
96,rz_5m_trna-ev1,5,1,6426264,336738,11.9,52.9,65.47,1112334.0,1992714.0,5263.0,39896.0,15683.0,143686.0,506554.0,8834.0,32.18590725733902,10.0,10.0,13.0,73.0,98.0
97,rz_5m_trna-mazf1,5,2,4267387,578754,13.44,37.81,52.13,464532.0,601599.0,7698.0,38540.0,4071.0,230498.0,535845.0,1118.0,53.42138825519454,11.0,12.0,15.0,87.0,245.0
98,rz_5m_trna-rele1,5,3,3678658,337466,29.56,34.06,65.35,795212.0,424558.0,23812.0,95334.0,6519.0,194166.0,648126.0,2974.0,65.08194351539031,10.0,12.0,53.0,137.0,242.0
99,rz_5m_trna-chpb1,5,4,5690643,759161,16.09,31.67,48.5,552343.0,826181.0,4162.0,49782.0,10278.0,258736.0,671695.0,3019.0,51.34791807129065,12.0,12.0,15.0,83.0,225.0
100,rz_5m_trna-hica1,5,5,4235854,492996,16.19,39.94,57.16,500866.0,641967.0,15686.0,46077.0,8524.0,266972.0,679104.0,1505.0,56.95584247926457,11.0,12.0,32.0,88.0,255.0
101,rz_5m_trna-yhav1,5,6,5601261,447918,12.5,35.81,49.02,590995.0,650522.0,4506.0,70735.0,8454.0,172293.0,1162509.0,1992.0,63.909173216707266,11.0,12.0,49.0,168.0,275.0
